,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
167,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,168
168,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,169
169,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,170
170,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,171
171,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,172
172,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,173
173,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,174
174,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,175
175,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,176
176,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,177
177,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,178
178,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,179
179,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,180
180,Thu Jan 11 02:04:47 +0000 2018,@Shell,0.0,0.859,0.141,Dean Stan Blade 🇨🇦,0.4215,1
181,Thu Jan 11 02:03:08 +0000 2018,@Shell,0.116,0.83,0.054,Bill de Blasio,-0.3578,2
182,Thu Jan 11 01:45:20 +0000 2018,@Shell,0.0,1.0,0.0,KTVU,0.0,3
183,Thu Jan 11 01:44:18 +0000 2018,@Shell,0.0,1.0,0.0,Dallas Goldtooth,0.0,4
184,Thu Jan 11 01:08:26 +0000 2018,@Shell,0.0,0.809,0.191,Shell,0.5423,5
185,Thu Jan 11 01:01:10 +0000 2018,@Shell,0.104,0.896,0.0,Chevron,-0.296,6
186,Wed Jan 10 23:36:44 +0000 2018,@Shell,0.0,1.0,0.0,Kashish Das Shrestha,0.0,7
187,Wed Jan 10 23:16:04 +0000 2018,@Shell,0.0,0.695,0.305,Heriot-Watt IPE,0.7845,8
188,Wed Jan 10 23:13:47 +0000 2018,@Shell,0.136,0.864,0.0,Shell,-0.296,9
189,Wed Jan 10 23:09:27 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,10
190,Wed Jan 10 23:07:27 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,11
191,Wed Jan 10 22:53:43 +0000 2018,@Shell,0.122,0.878,0.0,Fossil Free Culture,-0.3612,12
192,Wed Jan 10 22:48:00 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,13
193,Wed Jan 10 22:43:42 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,14
194,Wed Jan 10 22:41:29 +0000 2018,@Shell,0.094,0.726,0.179,Bill de Blasio,0.4588,15
195,Wed Jan 10 22:31:09 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,16
196,Wed Jan 10 22:24:09 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,17
197,Wed Jan 10 22:23:49 +0000 2018,@Shell,0.0,1.0,0.0,Frank Körver,0.0,18
198,Wed Jan 10 22:11:28 +0000 2018,@Shell,0.0,0.685,0.315,Leonardo DiCaprio,0.8327,19
199,Wed Jan 10 22:10:17 +0000 2018,@Shell,0.0,0.744,0.256,lenay,0.784,20
200,Wed Jan 10 22:08:04 +0000 2018,@Shell,0.104,0.896,0.0,C40 Cities,-0.296,21
201,Wed Jan 10 22:07:43 +0000 2018,@Shell,0.104,0.896,0.0,Mark Ruffalo,-0.296,22
202,Wed Jan 10 22:03:54 +0000 2018,@Shell,0.232,0.674,0.094,Richard Brooks,-0.5719,23
203,Wed Jan 10 21:56:34 +0000 2018,@Shell,0.123,0.877,0.0,Richard Brooks,-0.2023,24
204,Wed Jan 10 21:51:28 +0000 2018,@Shell,0.0,1.0,0.0,Ron Capps,0.0,25
205,Wed Jan 10 21:42:56 +0000 2018,@Shell,0.0,1.0,0.0,Physical Review Lett,0.0,26
206,Wed Jan 10 21:28:03 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,27
207,Wed Jan 10 21:14:40 +0000 2018,@Shell,0.166,0.834,0.0,Ike Teuling,-0.636,28
208,Wed Jan 10 21:08:02 +0000 2018,@Shell,0.0,0.723,0.277,Shell,0.3182,29
